FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.93E+06,1.38E+06,836846,205030,339856,258389,789173,166755,737716,1373.86,71839.2,46618.4,12209.8,9714.75,5735.12,2014.27,0.682
1.96E+06,1.28E+06,919904,231069,334671,227293,883454,175571,789659,2431.98,36965.3,51982.2,8278.38,19873.7,5198.88,3018.94,0.6916
1.51E+06,1.06E+06,855766,269022,386769,273573,848262,209840,769220,2503.75,65285.8,45107.6,11899.1,15753.3,5949.18,1543.49,0.6964
1.49E+06,995351,895685,274733,461112,324621,852278,217494,757905,1633.79,119162,38128.1,12299.1,12523.2,5311.81,1972.13,0.7115
758437,487769,932946,237879,416908,261950,954933,161641,882989,1536.23,73289.6,33904.4,9861.31,11379.2,6379.72,1500.33,0.7124
1.44E+06,933689,923636,267957,442736,308899,859962,210395,764155,2572.44,122604,42825.7,8209.91,13563.1,7919.15,2553.37,0.7179
1.12E+06,641271,1.04E+06,575590,1.10E+06,559277,1.18E+06,307287,1.12E+06,2645.36,10982.9,4544.7,5389.67,485.141,198.475,1749.94,0.7284
1.24E+06,852600,870196,294998,555865,386835,862174,231057,766038,2079.91,1.14E+06,64593,12064.2,6141.58,9174.7,5870.64,0.7496
1.66E+06,1.07E+06,931070,404073,646225,428221,905456,293807,825181,2664.14,94109.7,51982.6,15645.4,22530.6,9286.2,2762.15,0.7615
1.31E+06,866483,904850,342574,432766,293701,884095,262012,784485,1922.82,159012,57677.7,23418.2,15537.7,6440.76,2112.24,0.8007
1.71E+06,1.16E+06,882149,377266,549001,371998,885490,274648,824180,2739.98,82789.1,76352.6,20415.7,24385,10556.7,2934.79,0.8009
1.52E+06,1.03E+06,887468,349509,523314,359803,872668,275538,761075,2554.18,477511,50547.3,9445.37,14718.7,6831.16,3319.39,0.8227
1.83E+06,1.31E+06,842047,290960,460108,333291,828300,226230,771676,1840.08,72094.9,43448,13320.5,16362.6,4908.66,3718.56,0.8236
977863,614607,954622,349154,410221,291280,845003,268592,779965,2593.76,128745,43330.1,12480.2,10431,6199,972.735,0.8343
1.57E+06,1.12E+06,839486,231306,315815,221703,854698,180021,770929,3106.05,41336,52610.6,10179,18524.3,7479.16,2742.05,0.8343
1.06E+06,583472,1.09E+06,238851,434282,268773,969476,161558,887052,1629.36,78597,52144,10311.5,19085.6,7014.9,3334.22,0.8434
1.55E+06,1.03E+06,900287,250627,359426,243120,887033,192753,780151,1976.21,38588.4,49129.5,13443.3,13845.1,6320.12,1804.07,0.8799
2.30E+06,1.44E+06,956430,335154,538890,369552,874935,262610,765745,2798.34,42936.8,65742.1,16716.4,22529.4,8763.5,3857.74,0.8863
757323,441835,1.03E+06,421018,637368,397047,963162,292078,864874,1640.67,46708.7,63926.6,23348.9,11967.7,6502.08,1791.81,0.8896
1.71E+06,1.13E+06,906017,249557,344750,232173,890932,195158,767245,2348.28,35030.7,45733.4,11614.1,11223.8,5922.34,2263.98,0.9061
1.30E+06,924942,840306,205865,225626,165295,818992,166579,741506,1884.6,30973,32637.1,8674.12,11696.9,5972.95,622.073,0.9118
1.91E+06,1.09E+06,1.05E+06,358739,447979,275440,975847,243188,885091,3533.21,25865.5,73009.7,14136,18530,10598.3,4805.56,0.9155
1.04E+06,613604,1.02E+06,374717,591858,371774,955191,270387,831512,2045.56,55472.4,75137.2,34544.6,17428.1,9321.59,2165.28,0.92
1.51E+06,972799,932488,396918,494840,323878,916716,284133,838167,2019.89,80973.5,53502.2,15818.3,21646.9,7518.02,2535.54,0.9207
2.23E+06,1.41E+06,950351,175383,343838,249312,827489,139948,751923,2488.66,74517.1,55287.2,14788.6,5745.42,3550.59,2494.58,0.9244
1.47E+06,1.01E+06,873935,302319,417164,306179,817490,241068,752449,2102.44,31757.8,67252.2,22216.2,17007,6832.15,1700.3,0.9286
1.83E+06,1.08E+06,1.02E+06,389661,547317,343397,956299,276537,845445,3091.46,104031,77360.1,26983.6,17603.7,7564.69,2547.75,0.9419
1.43E+06,861043,999195,482895,780686,470107,996393,328204,882795,3198.75,21351.1,61398.8,15347,19071.7,8706.68,4103.6,0.9458
2.21E+06,1.24E+06,1.07E+06,456365,740245,456332,973298,304059,900546,5135.85,72646.4,85794.2,16281.6,36263.3,10491.4,6336.63,0.9489
2.03E+06,1.30E+06,940282,317126,505382,338948,894619,243771,780551,2832.77,158278,56255,11375.3,27094,7436.68,3467.47,0.9684
1.38E+06,892701,927998,219208,350298,237381,885406,166014,792252,2484.84,140520,35746.9,23253.9,12601.9,5501.14,1305.17,0.98
2.08E+06,1.26E+06,990271,438925,661272,410917,965555,293144,898380,2743.89,93193.9,57478.5,23422.1,13896.2,7928.39,3878.56,0.9885
1.75E+06,1.23E+06,848534,234971,361447,261950,827900,183321,769049,2307.94,8985.1,45296.5,10842.4,17155.3,7504.11,1752.44,0.9955
1.81E+06,1.21E+06,893181,263542,348682,237011,882699,201359,785289,1693.66,42413.5,51953.3,10761.1,10062.3,7355.28,3853.73,1.0278
1.43E+06,939687,914002,307383,522737,347797,901796,218824,842822,2335.16,19510.1,70924.5,27245.2,15755.6,8187.83,3024.88,1.0475
1.37E+06,902409,907965,337633,438677,300988,874473,253857,798008,1152.05,116775,35560.5,9073.08,7134.32,5554.04,1490.25,1.0496
1.40E+06,961400,875577,249922,415718,310052,804481,206421,726443,1577.67,28014.6,31603.2,11368.9,8832.92,5270.21,2404.19,1.0576
1.31E+06,825187,951769,433531,576429,380959,907859,316845,820964,4656.08,243327,51177,17139.5,11618.1,7098.76,2369.81,1.0813
2.76E+06,1.62E+06,1.02E+06,364533,613121,375008,980973,245073,892468,3023.59,43846.3,72526.3,40715.8,21679.8,8610.6,4854.55,1.0837
793190,487339,976556,353896,554467,316298,1.05E+06,221509,958595,1415.18,118125,57253.3,13934.4,13468.2,6970.52,3499.51,1.0983
1.67E+06,1.11E+06,903477,302013,423779,277636,915829,212373,853253,2245.91,60389.1,61588,34600.5,14738.3,7649.76,2068.78,1.1043
1.88E+06,1.44E+06,783438,160592,246480,186381,793471,129880,741880,1162.73,37641.8,26040,18582.4,8469.08,6626.39,2245.46,1.1363
1.56E+06,1.14E+06,817536,227378,370195,288082,771020,182389,747998,1037.2,34378.6,53632.6,16066.3,8135.28,4541.44,1755.43,1.1424
2.06E+06,1.31E+06,947597,322097,534831,356209,900871,230000,840254,3208.33,116903,90629.7,14795,34760.8,11329.3,3730.19,1.1471
1.75E+06,1.19E+06,881235,292688,536195,374848,858259,220125,797786,2930.01,75336.7,48701.7,16550.3,12075.7,8308.54,2725.6,1.1481
1.45E+06,1.05E+06,829206,306606,600607,444927,809940,244889,751211,2332.7,339295,49426.2,13305.6,11958.2,5574.78,2696.05,1.1606
1.99E+06,1.28E+06,931407,326797,497731,347997,858164,251902,778391,1981.12,40220,92429.1,29218.8,18756,6156.52,2790.68,1.1652
2.19E+06,1.45E+06,907928,301306,432963,291361,891602,216291,835834,3903.09,35866,97412.3,42962.7,14688.6,33007.6,2798.79,1.1817
