FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
2.52E+06,1.46E+06,1.03E+06,435428,798582,460406,1.04E+06,281221,929008,6358.78,355140,85993.1,22886.1,42377.1,15595.1,6320.2,8.7381
2.27E+06,1.37E+06,995359,324887,603681,363626,996103,218929,890390,3794.72,670670,102853,25657.3,38037.2,14402.6,6814.68,8.7526
2.42E+06,1.41E+06,1.03E+06,635105,771100,482469,958942,439746,866553,5548.62,301548,106107,31402.5,44687.9,16292.6,5162.83,8.7611
1.58E+06,866521,1.09E+06,581026,658516,369280,1.07E+06,361533,964271,5891.2,667742,87035.7,31730.8,23441.6,15625.5,6658.31,8.7646
1.49E+06,926171,964640,417529,587826,367004,961013,281112,891165,6791.69,394437,71083.6,21792.9,17605.7,13754.1,4609.89,8.7654
1.95E+06,1.12E+06,1.05E+06,479509,640958,370515,1.04E+06,313032,919092,4643.21,298975,73907.2,16413.1,24915.4,14515.7,4023.63,8.7859
1.82E+06,1.14E+06,959882,651505,803998,480054,1.00E+06,421826,926692,5765.58,332595,66572.5,21862.5,19536.6,12946.2,4630.5,8.7922
2.34E+06,1.44E+06,975947,446854,614099,407164,904941,310942,862258,3946.3,562316,73417.3,20270.1,25959.7,12905.4,5910.12,8.8285
1.70E+06,1.04E+06,978355,365032,422033,257504,983363,248895,879967,3589.75,299784,66663.7,24727.2,30199.3,13593.5,2673.13,8.8322
2.09E+06,1.18E+06,1.06E+06,398059,698862,454520,922550,277365,861086,6695.95,204048,85305.1,21149.3,39761.9,16098.8,5169.93,8.8339
2.74E+06,1.63E+06,1.01E+06,466630,861456,513263,1.01E+06,307096,911695,5317.01,305043,76723.1,34355.6,27471.1,15431.6,5893.6,8.8362
2.39E+06,1.40E+06,1.02E+06,599840,862142,474994,1.09E+06,363904,989008,6746.94,332258,107460,26410.8,26070.8,20455.5,6076.12,8.8387
1.99E+06,1.17E+06,1.02E+06,395894,725440,434345,1.00E+06,258694,918213,3926.36,578738,74331.6,20653.4,21654.3,13790.4,5520.9,8.8752
2.47E+06,1.42E+06,1.04E+06,538950,972866,573129,1.02E+06,357740,903925,3926.41,551469,123393,24326.3,37402.8,17325.4,5663.65,8.8784
1.97E+06,1.15E+06,1.02E+06,374566,624512,403872,927787,264557,849493,3588.77,310391,69226.6,16104,25479.9,16593.9,3088.52,8.9421
1.75E+06,1.06E+06,993074,355905,553433,352045,943231,246868,865010,4918.42,147081,64923,12264.1,16961.9,12915.2,2444.15,8.9492
2.01E+06,1.12E+06,1.07E+06,718078,1.04E+06,657734,945260,492854,874187,7602.69,93816,80101.7,22574.5,24957.1,13170.9,5566,8.9517
1.50E+06,952462,945362,401320,710372,486494,876112,293762,819684,2847.22,962285,68514.8,11858.3,14026.8,9501.12,6473.46,8.9695
851894,503029,1.02E+06,64500.6,100173,61309,980343,42823,903729,2857.66,14651.5,4811.17,6114.57,154.718,564.769,1404.47,8.9811
2.29E+06,1.35E+06,1.01E+06,470817,748551,456621,983596,318994,885567,4072.93,274288,74682.9,24627.8,17231.3,11796.6,4510,9.0012
2.48E+06,1.57E+06,949614,331554,674587,455688,888222,232872,854255,7007.53,360536,62709.4,21066.5,26672.4,9926.37,5672.48,9.0201
2.07E+06,1.17E+06,1.06E+06,361301,593665,363943,978722,246332,880035,4492.35,52213.7,66284.3,18744.8,21134.5,14101.1,2398.57,9.0268
2.18E+06,1.28E+06,1.02E+06,519455,565482,309652,1.10E+06,307690,1.01E+06,3876.2,754959,132470,26300.2,54149,16592.8,6731.1,9.0294
1.85E+06,1.04E+06,1.07E+06,556026,931340,583475,957717,377960,882674,3822.5,618474,66213.3,16742.1,18935.1,9991.14,5188.34,9.0649
1.97E+06,1.09E+06,1.08E+06,508980,546606,305589,1.07E+06,317136,962956,7454.33,318127,77679.3,26188,20989,13766.9,4014.39,9.0752
1.98E+06,1.12E+06,1.06E+06,532151,625742,375234,1.00E+06,340095,938828,3812.45,620078,82783.5,25183.1,33509.1,17402.4,5387.73,9.0769
1.49E+06,973796,920370,283693,558944,379874,882837,213221,798306,1342.66,339546,56740.5,12443.5,14917.6,8553.11,2981.95,9.1096
2.03E+06,1.16E+06,1.05E+06,361114,597642,379044,946026,252626,857665,5167.04,83264.1,86084.9,40408.5,25387,12858.2,3498.38,9.1177
2.58E+06,1.53E+06,1.01E+06,403887,556245,335129,995876,260759,929334,4547.26,342698,90694.2,24117.7,24202.3,18045,4394.01,9.166
1.94E+06,1.20E+06,968135,386026,461623,288218,960988,273021,848344,4466.36,160023,59316.9,15312.9,20202.7,10085.4,2865.5,9.1699
