FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.71E+06,1.15E+06,889864,166782,282920,198889,853502,124987,800639,1956.05,26323.1,182546,13651.1,6787.77,7898.94,207.145,2.9938
1.17E+06,730139,959175,395795,699358,459037,914120,281984,842164,2236.48,22812.1,97013,21337.8,14162,12436.2,1217.05,3.0156
2.03E+06,1.46E+06,836998,210046,432593,336400,771568,175042,719984,1048.3,132024,178251,14462.5,5520.77,5918.32,1172.07,3.0293
1.21E+06,777034,936022,189634,356294,259530,823706,148051,768524,2105.34,29469,116099,47313.6,9716.03,17253.4,697.459,3.0725
1.75E+06,1.19E+06,882223,251443,460649,338550,816391,200192,753604,2956.79,7373.26,102661,25201.3,14775.4,8121.63,715.869,3.0783
1.47E+06,1.06E+06,832494,368813,433599,322330,807120,289307,764888,2230.91,66482.2,102243,27626.8,8722.62,7112.25,1442.69,3.1164
1.03E+06,657377,938447,234806,400485,282129,851706,191201,736834,2076.61,13009.4,55927.9,8152.59,7399.97,5368.58,451.692,3.1338
1.60E+06,1.12E+06,860229,382681,635577,444535,857855,288335,796326,3410.38,27451.9,73758.9,18542.8,12140.3,11091.6,2352.94,3.1468
1.56E+06,932265,1.00E+06,566037,910925,585488,933503,402366,844062,6021.94,51929.2,104152,24515.8,12892.3,15486.2,1881.51,3.1626
1.48E+06,1.05E+06,845133,156739,285097,213892,799740,130519,720535,1729.07,3385.88,104618,18609.8,4524.05,10911.1,-455.573,3.2122
1.77E+06,1.32E+06,803678,343841,631744,479812,789990,272433,757267,2726.02,5739.07,80323.6,16538.7,13642.9,8108.1,1531.54,3.2601
836726,505803,992551,294877,421780,268859,941266,207521,852570,3182.16,44010.8,70996.1,11216.6,3539.22,6957.44,978.286,3.2792
1.96E+06,1.32E+06,895325,380818,711329,500063,853488,290511,786513,2591.19,16181.2,115789,20000.8,11398.3,8869.67,1723.3,3.2819
1.79E+06,1.31E+06,819049,234609,428992,350989,733342,204593,688025,2084.47,14325.9,60980.6,19741.3,5949.46,6126.27,1174.48,3.3995
1.75E+06,1.19E+06,884106,432518,725236,519571,837502,333807,777428,4373.59,30486.2,81559.6,32034,10534.9,15610.6,1824.03,3.4485
491366,301582,977577,271269,316727,209204,908378,196237,829411,1490.47,11943.7,52058.7,16582.1,7256.42,3703.24,46.4142,3.4629
1.68E+06,1.18E+06,854466,177904,303088,225498,806451,140484,759820,2916.84,5051.76,70428.7,8411.17,17380.2,8474.62,603.79,3.4716
1.70E+06,1.28E+06,797785,257824,434636,332252,784890,211085,732854,2696.55,29337.6,96595.1,9710.92,8881.21,6766.8,1058.56,3.5088
1.91E+06,1.34E+06,854050,273300,481632,362039,798199,220010,745330,1600.63,116298,112701,46659.9,9094.89,15439.1,638.915,3.5162
2.00E+06,1.21E+06,992301,434151,754026,466935,968905,299905,868576,2588.24,10059.2,63585.1,16109.5,12462.9,9116.71,670.836,3.5383
1.71E+06,1.37E+06,751844,131353,194420,160935,724840,113927,691776,1848.55,13428.9,104129,22933.5,4794.96,11214.8,350.648,3.541
509173,343155,890280,278372,419713,306713,821054,217788,766907,2446.21,28362.7,88338.8,11059.6,10853.6,6897.31,525.543,3.5636
1.49E+06,1.06E+06,838804,251819,463213,346699,801640,206267,732505,3781.73,26360.2,58908.8,18979.5,7316.77,5918.63,1174.23,3.609
1.60E+06,986330,971647,503609,712521,441663,967961,350351,862465,2283.25,91056.3,68748.2,26983.5,11814.8,10900.9,2068.87,3.6612
1.66E+06,1.25E+06,798722,262538,512935,386987,795275,208809,754387,2566.32,17708.3,69855.7,11148.1,6637.62,5843.61,1136.89,3.8151
