"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.47099e+06,1.1617e+06,166631,199021,169754,154437,2225.82,-8916.88,2.98911e+06,26206.1,2533.76,5449.79,9256.12,6.2434
1.93778e+06,1.5013e+06,207447,322373,266047,188443,1761.24,-7043.65,2.30645e+06,41503.4,2839.19,4021.81,7773.75,6.244
1.49231e+06,1.1972e+06,135502,195039,163212,123282,2544.43,-8973.64,2.73837e+06,26536.4,2590.72,4372.46,8317.24,6.316
1.50212e+06,1.20559e+06,172425,232090,199055,157422,2537.5,-9152.44,3.05597e+06,36040.7,3190.12,4694.01,9735.37,6.3632
1.50118e+06,1.26967e+06,138480,219307,200129,128586,1970.55,-5994.26,2.49509e+06,24495.3,437.729,4393.03,7590.3,6.3812
1.47389e+06,1.18486e+06,125456,179018,156975,117701,3135.24,-8365.86,2.60026e+06,29294.1,2763.16,3656.62,8833.84,6.4152
1.47621e+06,1.18106e+06,141589,189369,158775,130524,4113.99,-6265.56,1.92514e+06,51851.6,3024.09,5583.49,6190.31,6.4834
1.35935e+06,1.11637e+06,153728,162193,135896,143044,2021.02,-9369.95,2.69988e+06,21855.7,1610.79,3973.92,8333.6,6.4865
1.23868e+06,997501,138950,226908,188652,123658,2203.55,-6294.57,2.30554e+06,28452.1,2946.9,4214.69,7136.66,6.5126
1.34131e+06,1.03906e+06,139137,225332,185803,126977,1801.51,-3646.93,1.97431e+06,25540.2,1024.53,3742.05,5375.47,6.5223
1.39899e+06,1.1173e+06,129516,173399,149113,119080,2025.04,-8091.27,2.53392e+06,31740.9,1607.52,3833.88,8721.74,6.5354
1.2179e+06,943203,202492,270358,227462,187496,2284.49,-8306.41,2.91987e+06,34888.6,1984.27,5371.49,9529.77,6.5396
1.58602e+06,1.25617e+06,127763,174635,148754,119424,2408.24,-6808.47,2.04413e+06,20126.1,1103.48,3266.87,6100.51,6.548
1.53206e+06,1.2194e+06,155951,203496,171024,141208,3181.64,-9476.55,2.98748e+06,34873.7,2882.74,4994.75,9768.98,6.5517
962563,754348,142937,154454,127516,130929,1942.26,-7227.58,2.13673e+06,20978.7,915.052,3245.77,6047.56,6.6462
1.46568e+06,1.20926e+06,147717,186943,164623,136960,1884.81,-6791.99,2.49194e+06,28128.3,1822.29,5054.39,7223.08,6.8844
1.37054e+06,1.14811e+06,125118,165150,147203,117556,1523.94,-4916.38,1.91537e+06,24692.3,753.243,4058.33,5718.44,6.9097
1.4763e+06,1.16693e+06,139985,186595,157369,127240,1764.68,-6578.98,2.31275e+06,28090.5,1612.09,4064.85,7567.2,6.9402
1.33505e+06,1.06468e+06,139662,153537,128299,130675,1848.89,-5633.46,1.82814e+06,23916.4,559.019,3927.97,6116.19,6.9977
1.55037e+06,1.31639e+06,142365,188304,163655,130660,3503.05,-7450.71,2.58267e+06,26805.2,1606.24,3922.12,7940.68,7.0025
1.60394e+06,1.23213e+06,126892,132315,100438,108155,1902.55,-7035.33,2.74175e+06,21490.5,1277.39,4045.78,8620.34,7.0428
1.63009e+06,1.27876e+06,118423,133866,111598,108899,2974.55,-8892.67,2.6746e+06,23430.7,4116.85,3105.21,8076.55,7.0602
1.1277e+06,881382,152214,174753,148524,143356,1759.37,-6953.21,2.03873e+06,23289.5,1848.55,3519.82,6295.78,7.13
1.54331e+06,1.24455e+06,137600,177664,156036,130658,3219.18,-10405.4,3.15442e+06,25719.6,3618.93,3394.54,9933.4,7.1353
1.32513e+06,1.10339e+06,134620,157753,134662,125984,1407.45,-6062.07,1.88404e+06,28599.6,2760.64,3406.56,5310.09,7.2408
1.36519e+06,1.12867e+06,152872,204428,179425,143982,2305.29,-7385.29,2.2028e+06,22828.7,1987.44,3325.08,6720.56,7.2843
