"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
22323.2,17026,85925.8,687.75,594,75879.4,31428.8,1978.68,3120.35,1677.53,683.266,434.205,1.97029
22657.1,21608,68718,170.25,188,59348.4,54023.5,331.905,-79.041,-27.6011,-383.256,118.015,1.98682
20035.6,18668,70337.2,180.75,172,68870,57886,309.529,-185.285,-114.398,-413.404,-91.3792,2.00438
25959.1,24816,68554.8,174,144,79189.3,73416.2,226.103,75.7033,16.9685,-403.325,64.1239,2.03331
19543.9,18545,69066.1,234,209,73375.2,62917.6,323.845,138.818,-618.429,-166.539,19.4916,2.03434
20623,19524,69225.1,162,196,54167.5,58668.7,420.609,498.765,108.98,-614.601,325.441,2.05397
10547.5,10092,68493.7,246,216,74638.2,49982.3,301.002,75.2397,-93.6269,-274.073,209.32,2.0736
19435.7,18016,70700.3,87.75,80,71884.8,66271,288.342,-338.976,-117.112,-516.7,-13.7818,2.07464
27312.1,26396,67810.6,110.25,108,66901.3,52463.6,276.115,413.384,-229.652,-288.93,-16.74,2.09737
24967.8,23957,68301.1,115.5,113,66985.9,56378.2,367.636,240.109,-453.862,-596.476,95.0146,2.13766
19803.3,18593,69802,248.25,213,76381.8,65287.2,394.878,626.407,-412.139,-483.579,332.227,2.13869
27611.1,26193,69084.1,139.5,149,61357.5,67171.6,239.526,154.129,-528.164,-443.209,223.648,2.14283
27034.3,25958,68253.2,138,114,79333,58380.6,238.13,8.56342,32.1784,-795.958,126.387,2.15006
24821.9,23783,68398.9,178.5,179,65352.9,65680.9,489.472,294.328,-130.632,-557.19,198.187,2.15213
26382.8,25477,67866.1,180.75,129,91826.6,59708.9,226.999,-50.973,-326.967,-294.022,-119.949,2.16142
22731.7,21324,69862.4,178.5,188,62224.3,56666.3,186.57,66.439,-13.6454,-422.603,-117.298,2.18002
21483.7,20226,69611.1,393.75,374,68996.8,53131.9,280.935,125.736,81.053,-290.11,-74.9889,2.21412
26877.8,25588,68839.5,205.5,228,59068.6,59752.3,203.681,396.924,-313.8,-518.709,10.1108,2.23375
24052.4,22543,69924,177.75,191,60989.7,57261.4,286.308,-35.8878,177.626,-156.869,94.4792,2.24511
15981.2,15282,68534.7,126,146,56558.5,39497.2,252.931,73.6263,-7.44801,-139.627,-7.9468,2.24718
27491,26437,68148.8,153.75,145,69490.8,76646.3,197.515,-273.041,207.745,-340.339,-100.966,2.27094
23864.3,22978,68063.8,178.5,178,65720.1,65218.5,250.93,764.047,84.4473,-183.533,-46.9143,2.28851
22180.6,21077,68967.6,193.5,209,60675.7,56512.5,458.009,405.845,36.6541,-264.139,40.466,2.3009
24209.5,22729,69804.7,192,221,56936.3,57340.1,314.675,476.917,368.661,-566.965,111.82,2.3133
23953.4,22320,70331.9,194.25,180,70724.3,83130.9,242.749,151.055,-224.923,-895.428,222.438,2.32983
25688.5,24788,67916.9,93.75,96,64000,59074.7,308.304,129.33,-258.122,-698.591,93.3326,2.3598
17679.4,13193,87822.2,345,317,71324.7,54528.6,549.194,659.143,-100.089,-14.5317,163.273,2.37219
26518.1,24993,69535.2,168.75,193,57301.6,62159.3,246.954,-46.8931,-41.7573,-24.9521,-103.189,2.37426
15018.3,13640,72158.3,195.75,204,62885.6,45473.6,239.194,307.573,-220.186,-373.961,122.458,2.40732
20003.3,18529,70750.4,264,225,76895.6,54733.1,325.027,398.469,159.204,-407.36,105.798,2.41146
20962.3,19556,70248.7,158.25,164,63238.2,54844.6,222.038,-198.361,-35.2729,-371.137,125.528,2.41249
22957.4,21857,68835.6,111,97,74994.8,62139.8,254.353,-212.163,299.589,-553.67,19.9138,2.41972
25398.8,24585,67705.3,123,109,73953.5,58159.9,223.217,6.16477,-650.362,-769.09,57.6547,2.42902
25347.3,24175,68714,174.75,171,66973.2,68464.2,271.842,80.3884,-314.36,-651.827,-129.111,2.43419
