FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.42E+06,1.06E+06,802145,308215,511392,373920,820590,246950,748851,1479.22,1753.86,71390.6,7710.53,9910.53,8937.11,463.087,1.0679
936559,553922,1.01E+06,384689,520905,366615,852510,294539,783643,1560.68,5590.07,152649,60677.1,20146,9475.62,1095.84,1.0713
1.80E+06,1.22E+06,885524,332367,411988,297468,830989,258321,771985,1369.82,1426.91,93308.9,14145.6,13077.4,7438.65,729.886,1.0815
1.35E+06,933916,866266,460300,575630,434733,794460,369208,748034,2862.62,24226.6,87760.4,18452,10488.3,10355.6,1272.5,1.11
1.22E+06,872468,838821,275261,454285,333921,816274,227089,727276,1661.44,26932.9,64121,4644.74,9749.21,6729.64,452.795,1.1239
2.15E+06,1.28E+06,1.01E+06,721460,1.00E+06,616638,975121,500594,864724,2719.29,27003.6,61361.4,16588,10176.2,15570.5,834.33,1.134
1.52E+06,1.24E+06,737114,204161,315411,264541,715377,177260,691055,5779.42,500431,46857.8,11816,3030.08,5107.51,3086.85,1.1397
1.52E+06,1.13E+06,807326,295832,388161,289165,805411,240628,737651,4051.84,174712,46012.6,10505.8,11617.5,11010.1,1610.32,1.1415
1.38E+06,996937,829882,322866,371904,279674,797866,259245,747245,3158.59,11392.8,95705,18571.4,9770.66,6103.91,618.247,1.1677
1.32E+06,900488,881981,350388,454088,334564,814352,286821,732975,1627.54,30611,64047.8,5662.85,5947.14,5535.49,317.196,1.1814
1.39E+06,1.09E+06,766336,178147,284433,236777,720763,155923,685519,1920.54,4810.22,115299,9583.9,3363.85,4381.75,593.194,1.1927
1.38E+06,1.09E+06,756060,115554,221895,183883,724030,101880,680530,1321.09,17394,86951.4,6648.6,1626.85,3835.58,263.903,1.1953
1.74E+06,1.13E+06,920803,377470,508098,363210,839346,297483,761328,3255.52,1452.65,157880,36252.9,14093.4,10658.7,1585.33,1.2051
1.76E+06,1.27E+06,836422,280884,465463,307990,906775,197863,851753,2985.88,41144.8,93458.1,23000.8,9658.12,8471.14,945.079,1.2267
1.03E+06,719587,859844,435088,541041,388029,836599,345222,756188,1936.44,23940.9,50542.5,11758.6,8664.55,9049.08,712.459,1.232
1.72E+06,1.22E+06,842613,241486,449236,343795,784018,201772,718094,3988.47,15892.9,95418.3,11145.4,10531,9231.65,1167.53,1.3414
1.29E+06,1.06E+06,734273,175632,292033,242980,721128,155130,679295,1479.67,273229,37854.4,9237.53,5490.16,6106.24,1605.93,1.3612
1.78E+06,1.30E+06,825485,247657,394337,302628,781826,204354,727142,2026.78,55325.3,176781,5615.96,7107.72,9017.05,784.582,1.3971
617256,341834,1.08E+06,490712,814210,458921,1.06E+06,314413,936434,3907.98,47088.1,82488.4,20608.8,10573.3,10686.2,2049.32,1.4193
1.70E+06,1.13E+06,904312,484632,892295,588320,910010,345630,841303,3205.34,91990.7,59730.5,19440,17844.1,14103.2,1999.27,1.4461
1.39E+06,987438,841863,355668,524388,399193,788172,302478,705509,2744.27,25700,48252.5,9051.96,8054.82,7932.47,850.041,1.4608
686901,411071,1.00E+06,301542,480287,322705,892990,228956,790219,2671,46897,93184.2,13471.6,5302.1,4398.06,1142.94,1.4715
1.47E+06,1.00E+06,876326,283686,346145,238526,870710,216561,785976,984.378,50036.1,40995.8,11440.6,8412.27,5852.77,1014.31,1.4899
2.68E+06,1.55E+06,1.04E+06,484539,838901,513156,980872,339571,856148,2822.05,11673.8,76619.6,10155.1,9652.76,9923.51,1772.2,1.4955
1.25E+06,911288,824543,187558,314903,242714,778454,159011,707717,1727.44,21131.8,70154.3,8084.95,6636.35,4871.21,510.254,1.5119
1.52E+06,1.19E+06,766664,162232,297143,246545,723138,140383,693382,1662.25,57305,59327.3,6380.43,6216.07,4677.73,522.673,1.5437
1.42E+06,1.03E+06,824939,312784,567232,424752,801266,253977,738928,2471.32,29239.4,77461.4,11897.2,10202.3,10666.5,784.811,1.5683
1.37E+06,1.05E+06,780644,332110,417380,344036,727913,293408,679143,2653.49,62882.1,42440,11584.8,2730.99,4461.99,803.727,1.6012
775387,506181,919102,205434,208459,141738,882442,153904,800892,1030.4,19376.8,27734.3,5594.02,2081.19,2357.64,316.86,1.6997
1.47E+06,1.05E+06,837251,326850,556897,417669,800007,257955,760248,3445.4,13519.2,96066.4,13040.7,11108.3,5408.94,1210.44,1.7315
1.29E+06,877063,881435,510824,763849,548848,835039,389179,787541,8945.93,117095,60931.1,21937,7673.68,13261.3,3019.29,1.7363
1.13E+06,798021,852013,307146,485868,346196,842069,237759,775103,2593.18,114706,153474,19479.2,10783.8,7735.97,929.415,1.7735
511791,453137,677664,282668,502704,467147,645668,275145,616406,10565,15439.6,12792,9603.26,301.257,1571.58,2682.83,1.7852
2.08E+06,1.56E+06,800654,216062,411826,318829,775009,179701,721406,1394.17,8186.48,40719.8,5622.26,3597.25,3443.01,917.281,1.7866
1.48E+06,1.05E+06,847161,147671,263513,206461,765800,127421,695355,2411.42,4753.53,106685,3494.3,3662.77,5961.63,-317.168,1.7877
1.14E+06,800947,856842,197821,244293,180182,813488,167624,708088,1076.02,1043.28,62975.7,22983.2,5889.98,7928.87,590.48,1.7918
