FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.52E+06,1.08E+06,848305,405760,554488,422885,786721,325346,748299,4302.32,260546,82590.5,21328.1,17257.8,11921.4,2881.72,0.2908
1.69E+06,1.12E+06,910345,404820,517747,352533,881189,300501,808290,3533.76,78812.4,58599.5,20480.3,21576,10594.2,2818.7,0.2917
1.65E+06,1.11E+06,895804,334398,611844,425536,862692,255565,785079,3433.99,83305.7,90290.1,21462,27806.6,13528.7,3085.17,0.2974
2.28E+06,1.51E+06,906069,364743,597563,402148,891557,263770,829685,3767.68,29058,88539.2,31514.8,23221.8,12397.9,3265.37,0.301
1.53E+06,1.12E+06,817578,262028,334934,247775,811059,206974,759597,1189.05,47829.3,60831.8,13722,14162.3,6462.14,1134.54,0.3062
1.25E+06,813440,920382,318070,573214,388319,885686,233171,818464,3631.18,20745.9,105228,28598.2,18645.2,10496.7,2898.54,0.3103
1.54E+06,1.03E+06,892893,341624,598483,418290,858471,258853,791856,2088.13,158657,90613.3,21561.9,15813.8,12556.3,1739.72,0.3212
1.74E+06,1.05E+06,994170,457197,718987,417378,1.03E+06,293655,934151,4190.39,130364,24442.9,10474.9,4224.79,2288.09,2854.81,0.3252
1.74E+06,1.27E+06,821475,202088,362060,259325,837698,158876,763191,1876.7,88459.9,52705.2,19682.1,11081.2,8458.63,1593.21,0.3329
926568,546407,1.02E+06,311002,529237,320945,989397,204659,911767,2890.24,22714.6,85207.4,21032.7,24675.2,12428,3342.46,0.3389
1.63E+06,1.14E+06,858742,233119,395295,281295,843161,180245,776006,1881.06,38919.9,74295.2,18361.1,20832.9,8205.39,1715.25,0.341
1.81E+06,1.30E+06,831214,205257,373313,286650,781398,170100,724009,1745.54,41146.4,68675.8,11732.6,19534.1,5942.36,2114.79,0.3491
1.95E+06,1.31E+06,895541,364842,587662,419970,839578,272411,803584,3284.49,44500.6,108822,23550.7,46256,12997.8,3563.65,0.3635
1.82E+06,1.24E+06,879161,295270,549954,390584,844819,226110,783520,1844.9,171175,93138.1,20606.2,22567.6,7979.42,1880.25,0.3691
1.63E+06,1.14E+06,860952,260400,445180,316179,844799,206088,758123,1786.56,43489.4,70284.5,12272.7,13017.8,10625,1542.47,0.372
1.81E+06,1.24E+06,875940,395658,674105,487689,829347,308106,770496,4858.02,289350,77732.4,20465.7,16074.2,10409.9,3284.09,0.3747
1.74E+06,1.25E+06,833683,244272,345701,242225,856313,187795,780442,2520.06,23151.8,73081.8,13158.9,12639,8012.68,1700.39,0.3762
1.95E+06,1.19E+06,982807,265822,448183,250482,1.07E+06,166009,960751,1219.5,135501,61393.3,16176.7,14920.7,10448.2,1904.46,0.3806
1.81E+06,1.24E+06,873107,254198,467559,325639,861492,189811,803531,2801.58,38033,81940.9,19556.8,19989.2,8741.05,1429.29,0.3988
1.53E+06,1.04E+06,882042,418206,645372,430472,899532,302210,830296,3097.36,39475.3,112378,48048.5,21859.9,12914.4,3616.92,0.4065
1.89E+06,1.27E+06,894316,254950,333327,233365,857010,194868,784994,2547.24,58794.1,87016.4,30276.6,14272.8,8064.96,2584.28,0.4132
1.97E+06,1.42E+06,832344,188977,304866,232405,787072,150742,752186,1776.09,23420.5,68853.2,10386.4,13127.5,8362.8,2102.86,0.4171
1.53E+06,1.01E+06,909832,441887,553495,371876,893032,325121,815487,4302.12,84493.8,99509.5,30130.6,21417.7,13242.1,2006.71,0.4198
1.82E+06,1.24E+06,880591,297558,555144,395071,843105,228716,780597,3649.05,21462,45819,13401.1,13834.1,5554.99,3401.62,0.4218
2.41E+06,1.50E+06,966473,467637,783582,483188,973016,318608,880650,3459.69,41404.6,162134,34062.6,30087.8,19348.6,3498.97,0.4286
1.35E+06,863048,941307,418993,831707,549854,907557,305636,822532,2603.39,75634.5,94168.2,28864.3,26625.7,14725.2,2632.75,0.4314
1.39E+06,971055,857274,238325,467385,344178,814784,186091,768414,850.802,38440.7,60248.7,8114.77,14631.2,8168.18,1854.05,0.44
788595,492815,960110,361993,444450,300059,888724,272636,796650,2137.28,153908,65344.6,9931.93,14845.4,9435.46,1639.41,0.4428
1.76E+06,1.25E+06,843277,259976,428106,303269,846983,197881,788281,1710.03,81896.7,75398.2,10824.6,24529.5,6740.98,2662.51,0.4485
1.14E+06,728864,942446,440113,728208,476725,916514,305967,863060,2816.57,15205.7,112381,35491.6,17790.4,10859.4,2364.34,0.4527
1.53E+06,1.05E+06,875247,353997,643434,438003,881410,261397,812551,2980.89,46999.9,90357.7,25754.3,23524.5,13158.7,2524.45,0.4534
1.28E+06,928811,824472,323496,471576,335748,842732,250026,776311,2174.48,73755.7,74189.8,26431.3,20718.4,7900.59,1283.23,0.4545
1.90E+06,1.24E+06,919105,319562,580864,385715,903564,223976,856061,2721.81,37103.5,96870.5,29805.4,34085.9,12767,2206.84,0.4588
1.59E+06,1.05E+06,911395,396030,745398,519546,860826,304570,780176,2247.06,76407.3,74199.1,27989.5,21934.9,7886.45,4180.04,0.46
1.61E+06,1.14E+06,842923,226651,446180,321543,832573,172265,789425,1933.17,39014.8,69441.4,12707.2,20949.9,7225.74,2501.08,0.4609
1.71E+06,1.04E+06,986561,383309,630295,409810,922811,285172,806479,3717.4,15103.6,151813,24301.5,28222.9,14576.9,2739.3,0.4674
1.49E+06,1.07E+06,834082,233355,324174,235948,824354,181681,770653,3145.1,71963.6,59265.3,16626.6,14204.8,7419.58,1259.41,0.4803
1.63E+06,1.06E+06,925866,312141,616319,432014,855971,233328,802667,2185.47,73724.7,63635.4,17912.1,25398.3,12236.2,2725.92,0.4806
1.22E+06,841983,867076,294568,499218,369556,810515,230306,767418,1480.96,84077.9,80080.8,11869.1,18670.1,8487.92,1465.26,0.4822
1.68E+06,1.03E+06,974786,283131,541321,336869,964151,195236,870119,2085.95,36152.8,63263.5,11864.7,12696.6,6263.8,1146.11,0.4834
1.29E+06,831887,933077,381824,633389,418772,907495,283030,809435,3385.48,45515.9,87379,24912,26651,8707.76,2504.65,0.491
1.98E+06,1.22E+06,974144,394625,708501,448504,947819,272757,868080,4526.06,37398.4,111370,39792,46241.2,16462.2,3732.26,0.5095
