"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
21648,19235,73757.4,767.25,711,70720.8,1447.07,3008.54,2513.35,513.128,970.492,184.447,13.5614
20221.1,18429,71908.9,577.5,553,68439.5,424.896,982.671,965.934,79.6723,257.506,188.029,13.5699
17383.1,15390,74023.2,625.5,622,65904.8,3910.78,2515.95,1967.43,1067.05,-358.352,683.943,13.588
24465.5,21356,75078.4,769.5,700,72042.8,1132.84,3815.54,1141.85,2042.72,-19.5583,455.673,13.7236
8820.9,7386,78267.9,435,426,66920.6,61.8749,3213.61,1457.81,1485.65,337.502,177.624,13.7983
19479.9,18170,70260.6,250.5,266,61717.2,27461.4,588.417,-361.057,35.9561,293.285,86.416,13.8047
13369,11629,75341.7,657,621,69335.2,10617.6,2179.87,1606.12,489.496,-223.992,337.33,13.8847
21756.2,19015,74983.8,836.25,739,74160.3,5618.41,2810.13,1740.89,1000.35,881.224,528.09,13.8879
18571.7,16677,72981.8,692.25,641,70775.8,5653.58,3103.4,1824.58,1065.99,96.9427,496.595,13.9007
24002.9,21040,74764.9,516.75,480,70553.6,237.114,3084.81,1536.12,3430.41,349.149,198.829,14.016
19332.1,16860,75145.1,787.5,712,72485.4,22542.5,2985.49,903.083,385.388,54.7666,494.266,14.0406
9523.14,7825,79758.3,776.25,757,67202.5,376.034,651.652,811.568,403.021,843.142,499.534,14.0683
22525.1,20372,72462.6,713.25,644,72583.2,13046,3012.42,572.405,862.162,398.174,266.581,14.1174
7294.32,6026,79329.7,382.5,334,75052.5,1119.01,221.659,-208.026,286.101,646.934,10.6747,14.1601
19899.7,18061,72207.7,659.25,633,68253.7,3054.15,2598.54,1595.48,351.777,224.566,587.911,14.3223
7257.36,6444,73807.9,714,680,68812.8,400.322,625.43,182.273,359.69,841.867,98.3757,14.3308
7355.04,5684,84802.9,643.5,560,75307.9,2373.78,3423.22,2723.32,693.306,-303.741,937.607,14.4066
19474.6,16721,76328.5,837.75,769,71395,3502.06,3981.75,3385.51,1219.35,601.242,571.28,14.4344
10419.4,9548,71517.3,293.25,312,61597.5,1016.42,238.551,-635.328,186.834,-18.5465,-92.1976,14.4941
15147,13231,75026.4,747,683,71677,8899.77,2469.14,1090.98,785.825,278.313,393.78,14.5507
17505.2,14737,77846.2,978,849,75493.8,5019.91,4781.31,2070.71,1945.72,245.028,702.425,14.5614
22721.8,20840,71453.8,711.75,636,73341.6,437.541,2331.3,1252.54,1270.08,575.136,234.337,14.7247
15153.6,12553,79113.1,937.5,893,68801.8,1258.72,4347.97,2991.9,1784.26,653.508,259.048,14.7737
17031.3,14821,75309.6,874.5,753,76110.5,877.284,3426.22,1719.98,-259.68,-195.466,780.935,14.8111
8939.04,7581,77275.9,839.25,825,66668,458.606,667.752,488.669,179.185,548.399,301.79,14.8933
21110.8,18866,73333.8,684.75,642,69900,370.465,2483.05,1020.41,557.22,607.398,785.481,14.9562
17183.1,12156,92638.3,1137.75,1032,72251.5,8067.7,1651.86,5596.92,2668.83,409.3,1381.83,15.0245
19656.8,15997,80529.3,951.75,797,78260.8,1566.7,3471.63,1001.1,1078.08,389.914,541.107,15.0822
15132.5,13085,75790.8,680.25,633,70427.9,6843.57,2654.67,1644.14,290.55,925.61,1004.04,15.143
25559.2,22056,75945.1,591,572,67712.9,2017.66,3306.35,291.407,2116.26,-99.3984,438.25,15.1473
24444.4,20095,79720.8,533.25,444,78709.6,2228.81,474.929,561.065,241.164,568.891,248.747,15.158
7657.98,6505,77152,764.25,617,81176.5,950.206,183.594,1141.13,261.646,955.492,333.345,15.3575
25135.4,21757,75712.5,822,749,71923.4,98.1315,5835.62,1630.06,2319.85,988.33,555.881,15.3959
14906.8,12585,77626.5,953.25,857,72896.4,208.138,4625.68,3826.47,2054.24,217.317,628.231,15.4077
21231.5,18067,77015,725.25,707,67227.7,1719.01,4780.89,2632.77,1921.34,-52.7523,531.441,15.5229
13001.3,11852,71891.3,557.25,520,70230.6,4846.53,801.56,1169.46,1767.51,1001.34,-49.7654,15.6841
23556.7,19673,78473.7,634.5,589,70598.6,708.104,3481.45,952.843,411.038,-75.8359,305.984,15.7001
