time,replicate,genotype,counts,cohort number,condition
72,3,BaxBak KO,72271,7857,0.1uM combination
96,3,BaxBak KO,93409,8030,0.1uM combination
120,3,BaxBak KO,82934,6688,0.1uM combination
144,3,BaxBak KO,89529,6845,0.1uM combination
24,1,WT,6042,4509,1uM combination
48,1,WT,2822,1419,1uM combination
72,1,WT,3020,1396,1uM combination
96,1,WT,1215,621,1uM combination
120,1,WT,595,196,1uM combination
144,1,WT,333,80,1uM combination
24,2,WT,5646,3789,1uM combination
48,2,WT,2809,1451,1uM combination
72,2,WT,2849,1130,1uM combination
96,2,WT,1240,627,1uM combination
120,2,WT,409,177,1uM combination
144,2,WT,168,78,1uM combination
24,3,WT,6286,4317,1uM combination
48,3,WT,2214,1226,1uM combination
72,3,WT,2488,1143,1uM combination
96,3,WT,880,575,1uM combination
120,3,WT,291,146,1uM combination
144,3,WT,87,46,1uM combination
24,1,BaxBak KO,7426,7391,1uM combination
48,1,BaxBak KO,17331,7891,1uM combination
72,1,BaxBak KO,66731,7561,1uM combination
96,1,BaxBak KO,88157,8020,1uM combination
120,1,BaxBak KO,77029,6560,1uM combination
144,1,BaxBak KO,80466,6780,1uM combination
24,2,BaxBak KO,8143,8126,1uM combination
48,2,BaxBak KO,16546,7599,1uM combination
72,2,BaxBak KO,68000,7815,1uM combination
96,2,BaxBak KO,86100,7824,1uM combination
120,2,BaxBak KO,74589,6364,1uM combination
144,2,BaxBak KO,77877,6640,1uM combination
24,3,BaxBak KO,7657,7614,1uM combination
48,3,BaxBak KO,17694,8026,1uM combination
72,3,BaxBak KO,62789,7188,1uM combination
96,3,BaxBak KO,88186,7970,1uM combination
120,3,BaxBak KO,74314,6457,1uM combination
144,3,BaxBak KO,79903,6616,1uM combination
