"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.36208e+06,1.09018e+06,126370,175168,151534,119689,1442.76,-5876.66,1.75293e+06,22515.7,1103.34,2600.01,5913.39,7.6458
1.32189e+06,1.1007e+06,114995,140939,125487,108602,1686.37,-6024.55,1.81911e+06,16524.4,507.12,2871.28,5606.04,7.6921
1.36291e+06,1.08329e+06,144440,203312,173102,132147,2206.93,-6214.84,1.9685e+06,28885.8,2819.61,3647.13,6282.21,7.8685
1.2754e+06,1.01404e+06,115137,180938,155676,105863,1886.99,-3467.97,1.33133e+06,28336.2,2428.33,2818.83,4920.56,7.9995
1.36318e+06,1.13932e+06,120622,190808,167834,109238,2293.56,-3276.28,1.62534e+06,28803.5,2681.02,4068.23,5992.34,8.0448
1.25637e+06,922197,180894,308873,247041,155455,2155.52,-5235.61,1.95434e+06,28199.2,3401.18,3506.65,6095.63,8.0525
1.37895e+06,1.15574e+06,130650,157876,142868,124889,1418.06,-7238.69,2.14282e+06,19452.2,2882.11,2326.9,6521.12,8.1056
1.53538e+06,1.24182e+06,135942,192956,157594,114566,2516.29,-5173.42,1.92023e+06,25005.7,-152.993,3336.72,6451.2,8.1666
1.33028e+06,1.07927e+06,116585,134071,117921,109855,1304.71,-5563.6,1.70178e+06,19032.9,681.236,3277.68,5240.39,8.1713
1.5237e+06,1.18631e+06,145424,219595,175307,131197,2135.36,-5401.65,2.13599e+06,21366.9,1896.68,3491.77,6071.31,8.2458
1.52659e+06,1.22041e+06,273530,463980,407583,258099,2773.85,-6044.62,2.249e+06,26753.1,-259.713,3872.24,7309.17,8.3395
1.2548e+06,1.06518e+06,146117,194578,173578,136802,2079.93,-5372.57,1.85418e+06,21455.5,3403.63,3114.98,6109.38,8.3684
1.39972e+06,1.1322e+06,172379,356487,323781,163934,2513.62,-4631.8,1.72452e+06,28016.6,318.829,2303.48,5863.99,8.4517
